a,r,b
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:HAS_SOLUTION],"(:Solution {code: class Solution:
    def xorOperation(self, n: int, start: int) -> int:
        x = start
        for i in range(1, n):
            x = x ^ (start + 2*i)
        return x, language: Python, approach: Standard})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:HAS_TIME_COMPLEXITY],"(:TimeComplexity {complexity: $O(n)$, explanation: The time complexity is $O(n)$ because the solution involves a single loop that iterates from 1 to n-1. The operations inside the loop are constant time. The space complexity is $O(1)$ because the algorithm only uses a few variables to store the result and the loop counter, without creating the full array in memory. The space used is constant regardless of the input size 'n'.})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:HAS_SPACE_COMPLEXITY],"(:SpaceComplexity {complexity: $O(1)$, explanation: The time complexity is $O(n)$ because the solution involves a single loop that iterates from 1 to n-1. The operations inside the loop are constant time. The space complexity is $O(1)$ because the algorithm only uses a few variables to store the result and the loop counter, without creating the full array in memory. The space used is constant regardless of the input size 'n'.})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""lenovo""],[""phone"",""gold"",""iphone""]], ruleKey = ""color"", ruleValue = ""silver""', 'output': '1', 'explanation': 'There is only one item matching the given rule, which is [""computer"",""silver"",""lenovo""].'}, {'id': 2, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""phone""],[""phone"",""gold"",""iphone""]], ruleKey = ""type"", ruleValue = ""phone""', 'output': '2', 'explanation': 'There are only two items matching the given rule, which are [""phone"",""blue"",""pixel""] and [""phone"",""gold"",""iphone""]. Note that the item [""computer"",""silver"",""phone""] does not match.'}], topics: [Array, String], problem_statement: You are given an array items, where each items[i] = [typei, colori, namei] describes the type, color, and name of the ith item. You are also given a rule represented by two strings, ruleKey and ruleValue.

The ith item is said to match the rule if one of the following is true:
- ruleKey == ""type"" and ruleValue == typei.
- ruleKey == ""color"" and ruleValue == colori.
- ruleKey == ""name"" and ruleValue == namei.

Return the number of items that match the given rule., title: Count Items Matching a Rule, constraints: [1 <= items.length <= 10^4, 1 <= typei.length, colori.length, namei.length, ruleValue.length <= 10, ruleKey is equal to either ""type"", ""color"", or ""name""., All strings consist only of lowercase letters.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'nums = [0,1,2,3,4], index = [0,1,2,2,1]', 'output': '[0,4,1,3,2]', 'explanation': 'nums       index     target\n0            0        [0]\n1            1        [0,1]\n2            2        [0,1,2]\n3            2        [0,1,3,2]\n4            1        [0,4,1,3,2]'}, {'id': 2, 'input': 'nums = [1,2,3,4,0], index = [0,1,2,3,0]', 'output': '[0,1,2,3,4]', 'explanation': 'nums       index     target\n1            0        [1]\n2            1        [1,2]\n3            2        [1,2,3]\n4            3        [1,2,3,4]\n0            0        [0,1,2,3,4]'}, {'id': 3, 'input': 'nums = [1], index = [0]', 'output': '[1]', 'explanation': None}], topics: [Array, Simulation], problem_statement: Given two arrays of integers nums and index. Your task is to create target array under the following rules:
- Initially target array is empty.
- From left to right read nums[i] and index[i], insert at index index[i] the value nums[i] in target array.
- Repeat the previous step until there are no elements to read in nums and index.
Return the target array.
It is guaranteed that the insertion operations will be valid., title: Create Target Array in the Given Order, constraints: [1 <= nums.length, index.length <= 100, nums.length == index.length, 0 <= nums[i] <= 100, 0 <= index[i] <= i]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Bit Manipulation}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '[0,1,1]', 'explanation': '0 --> 0\n1 --> 1\n2 --> 10'}, {'id': 2, 'input': 'n = 5', 'output': '[0,1,1,2,1,2]', 'explanation': '0 --> 0\n1 --> 1\n2 --> 10\n3 --> 11\n4 --> 100\n5 --> 101'}], topics: [Dynamic Programming, Bit Manipulation], problem_statement: Given an integer n, return an array ans of length n + 1 such that for each i (0 <= i <= n), ans[i] is the number of 1's in the binary representation of i., title: Counting Bits, constraints: [0 <= n <= 10^5]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'cost = [10,15,20]', 'output': '15', 'explanation': 'You will start at index 1.\n- Pay 15 and climb two steps to reach the top.\nThe total cost is 15.'}, {'id': 2, 'input': 'cost = [1,100,1,1,1,100,1,1,100,1]', 'output': '6', 'explanation': 'You will start at index 0.\n- Pay 1 and climb two steps to reach index 2.\n- Pay 1 and climb two steps to reach index 4.\n- Pay 1 and climb two steps to reach index 6.\n- Pay 1 and climb one step to reach index 7.\n- Pay 1 and climb two steps to reach index 9.\n- Pay 1 and climb one step to reach the top.\nThe total cost is 6.'}], topics: [Dynamic Programming, Array], problem_statement: You are given an integer array cost where cost[i] is the cost of ith step on a staircase. Once you pay the cost, you can either climb one or two steps.

You can either start from the step with index 0, or the step with index 1.

Return the minimum cost to reach the top of the floor., title: Min Cost Climbing Stairs, constraints: [2 <= cost.length <= 1000, 0 <= cost[i] <= 999]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'rowIndex = 3', 'output': '[1,3,3,1]'}, {'id': 2, 'input': 'rowIndex = 0', 'output': '[1]'}, {'id': 3, 'input': 'rowIndex = 1', 'output': '[1,1]'}], topics: [Array, Dynamic Programming], problem_statement: Given an integer rowIndex, return the rowIndexth (0-indexed) row of the Pascal's triangle.

In Pascal's triangle, each number is the sum of the two numbers directly above it., title: Pascal's Triangle II, constraints: [0 <= rowIndex <= 33]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Bit Manipulation}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'head = [1,0,1]', 'output': '5', 'explanation': '(101) in base 2 = (5) in base 10'}, {'id': 2, 'input': 'head = [0]', 'output': '0', 'explanation': None}], topics: [Linked List, Bit Manipulation, Math], problem_statement: Given head which is a reference node to a singly-linked list. The value of each node in the linked list is either 0 or 1. The linked list holds the binary representation of a number.

Return the decimal value of the number in the linked list.

The most significant bit is at the head of the linked list., title: Convert Binary Number in a Linked List to Integer, constraints: [The Linked List is not empty., Number of nodes will not exceed 30., Each node's value is either 0 or 1.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'head = [1,0,1]', 'output': '5', 'explanation': '(101) in base 2 = (5) in base 10'}, {'id': 2, 'input': 'head = [0]', 'output': '0', 'explanation': None}], topics: [Linked List, Bit Manipulation, Math], problem_statement: Given head which is a reference node to a singly-linked list. The value of each node in the linked list is either 0 or 1. The linked list holds the binary representation of a number.

Return the decimal value of the number in the linked list.

The most significant bit is at the head of the linked list., title: Convert Binary Number in a Linked List to Integer, constraints: [The Linked List is not empty., Number of nodes will not exceed 30., Each node's value is either 0 or 1.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'num = 38', 'output': '2', 'explanation': 'The process is\n38 --> 3 + 8 --> 11\n11 --> 1 + 1 --> 2 \nSince 2 has only one digit, return it.'}, {'id': 2, 'input': 'num = 0', 'output': '0', 'explanation': None}], topics: [Math], problem_statement: Given an integer num, repeatedly add all its digits until the result has only one digit, and return it., title: Add Digits, constraints: [0 <= num <= 2^31 - 1]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 19', 'output': 'true', 'explanation': '1^2 + 9^2 = 82\n8^2 + 2^2 = 68\n6^2 + 8^2 = 100\n1^2 + 0^2 + 0^2 = 1'}, {'id': 2, 'input': 'n = 2', 'output': 'false', 'explanation': None}], topics: [Math], problem_statement: Write an algorithm to determine if a number n is happy.

A happy number is a number defined by the following process:
- Starting with any positive integer, replace the number by the sum of the squares of its digits.
- Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1.
- Those numbers for which this process ends in 1 are happy.

Return true if n is a happy number, and false if not., title: Happy Number, constraints: [1 <= n <= 2^31 - 1]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Medium, examples: [{'id': 1, 'input': 'nums = [1,2,3,3,4,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,5] --> 1, 2, 3\n[1,2,3,3,4,5] --> 3, 4, 5'}, {'id': 2, 'input': 'nums = [1,2,3,3,4,4,5,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,4,5,5] --> 1, 2, 3, 4, 5\n[1,2,3,3,4,4,5,5] --> 3, 4, 5'}, {'id': 3, 'input': 'nums = [1,2,3,4,4,5]', 'output': 'false', 'explanation': 'It is impossible to split nums into consecutive increasing subsequences of length 3 or more.'}], topics: [Array], problem_statement: You are given an integer array nums that is sorted in non-decreasing order.

Determine if it is possible to split nums into one or more subsequences such that both of the following conditions are true:
- Each subsequence is a consecutive increasing sequence (i.e. each integer is exactly one more than the previous integer).
- All subsequences have a length of 3 or more.

Return true if you can split nums according to the above conditions, or false otherwise.

A subsequence of an array is a new array that is formed from the original array by deleting some (can be none) of the elements without disturbing the relative positions of the remaining elements. (i.e., [1,3,5] is a subsequence of [1,2,3,4,5] while [1,3,2] is not)., title: Split Array into Consecutive Subsequences, constraints: [1 <= nums.length <= 10^4, -1000 <= nums[i] <= 1000, nums is sorted in non-decreasing order.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Medium, examples: [{'id': 1, 'input': 'arr = [3,3,3,3,5,5,5,2,2,7]', 'output': '2', 'explanation': 'Choosing {3,7} will make the new array [5,5,5,2,2] which has size 5 (i.e equal to half of the size of the old array).\nPossible sets of size 2 are {3,5},{3,2},{5,2}.\nChoosing set {2,7} is not possible as it will make the new array [3,3,3,3,5,5,5] which has a size greater than half of the size of the old array.'}, {'id': 2, 'input': 'arr = [7,7,7,7,7,7]', 'output': '1', 'explanation': 'The only possible set you can choose is {7}. This will make the new array empty.'}], topics: [Array], problem_statement: You are given an integer array arr. You can choose a set of integers and remove all the occurrences of these integers in the array.

Return the minimum size of the set so that at least half of the integers of the array are removed., title: Reduce Array Size to The Half, constraints: [2 <= arr.length <= 10^5, arr.length is even., 1 <= arr[i] <= 10^5]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})",[:SIMILAR_TOPIC {shared_topic: Math}],"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 'buckets = 4, minutesToDie = 15, minutesToTest = 15', 'output': '2', 'explanation': 'We can determine the poisonous bucket as follows:\nAt time 0, feed the first pig buckets 1 and 2, and feed the second pig buckets 2 and 3.\nAt time 15, there are 4 possible outcomes:\n- If only the first pig dies, then bucket 1 must be poisonous.\n- If only the second pig dies, then bucket 3 must be poisonous.\n- If both pigs die, then bucket 2 must be poisonous.\n- If neither pig dies, then bucket 4 must be poisonous.'}, {'id': 2, 'input': 'buckets = 4, minutesToDie = 15, minutesToTest = 30', 'output': '2', 'explanation': 'We can determine the poisonous bucket as follows:\nAt time 0, feed the first pig bucket 1, and feed the second pig bucket 2.\nAt time 15, there are 2 possible outcomes:\n- If either pig dies, then the poisonous bucket is the one it was fed.\n- If neither pig dies, then feed the first pig bucket 3, and feed the second pig bucket 4.\nAt time 30, one of the two pigs must die, and the poisonous bucket is the one it was fed.'}], topics: [Math], problem_statement: There are buckets buckets of liquid, where exactly one of the buckets is poisonous. To figure out which one is poisonous, you feed some number of (poor) pigs the liquid to see whether they will die or not. Unfortunately, you only have minutesToTest minutes to determine which bucket is poisonous.

You can feed the pigs according to these steps:
1. Choose some live pigs to feed.
2. For each pig, choose which buckets to feed it. The pig will consume all the chosen buckets simultaneously and will take no time. Each pig can feed from any number of buckets, and each bucket can be fed from by any number of pigs.
3. Wait for minutesToDie minutes. You may not feed any other pigs during this time.
4. After minutesToDie minutes have passed, any pigs that have been fed the poisonous bucket will die, and all others will survive.
5. Repeat this process until you run out of time.

Given buckets, minutesToDie, and minutesToTest, return the minimum number of pigs needed to figure out which bucket is poisonous within the allotted time., title: Poor Pigs, constraints: [1 <= buckets <= 1000, 1 <= minutesToDie <= minutesToTest <= 100]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:BELONGS_TO_TOPIC],(:Topic {name: Math})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:BELONGS_TO_TOPIC],(:Topic {name: Dynamic Programming})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 2', 'output': '2', 'explanation': 'There are two ways to climb to the top.\n1. 1 step + 1 step\n2. 2 steps'}, {'id': 2, 'input': 'n = 3', 'output': '3', 'explanation': 'There are three ways to climb to the top.\n1. 1 step + 1 step + 1 step\n2. 1 step + 2 steps\n3. 2 steps + 1 step'}], topics: [Dynamic Programming, Math, Memoization], problem_statement: You are climbing a staircase. It takes n steps to reach the top.

Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?, title: Climbing Stairs, constraints: [1 <= n <= 45]})",[:BELONGS_TO_TOPIC],(:Topic {name: Memoization})
